Symbol,Quant Rating,SA Analyst Ratings,Wall Street Ratings,Valuation Grade,Growth Grade,Profitability Grade,Momentum Grade,EPS Revision Grade,Upcoming Announce Date,EPS Estimate,Revenue Estimate,Last Quarter Announce Date,EPS Actual,EPS Surprise,Revenue Actual,Revenue Surprise,Yield TTM,Payout Ratio,Div Consistency,Div Yield,Div Growth,Div Safety,Altman Z Score,Market Cap,P/E FWD,Price / Sales,EV / EBITDA,Price / Book,Net Income 3Y,Revenue 3Y,EPS Growth (FWD),EPS YoY,Revenue FWD,Revenue YoY,FCF Margin,EBITDA Margin,Profit Margin,Return on Assets,Return on Equity
AIG,3.16,3.50,3.63,B-,C,A,D+,C,-,1.91192,7252377670,4/30/2026,2.11,0.23175,6650000000,-361069000,2.29%,16.71%,C-,C-,C+,A-,-,41764344000,10.08,1.60,6.12,1.05,-19.61%,-17.00%,21.16%,47.79%,4.74%,-1.41%,42.31%,30.53%,34.99%,1.96%,7.72%
AJG,2.16,3.50,4.09,F,C+,B,D-,C-,-,2.87772,4033577500,4/30/2026,4.47,0.0434,4758000000,-7574380,1.27%,23.04%,A,F,C,A,1.24,53460976000,15.71,3.80,17.68,2.25,11.53%,18.25%,13.78%,-7.13%,17.52%,24.87%,8.26%,26.37%,42.00%,2.06%,7.01%
ALGN,4.15,3.66,4.12,C-,C-,A,B-,A-,7/29/2026,2.64492,1052049500,4/29/2026,2.58,0.29349,1040087000,18747640,-,-,-,-,-,-,5.06,12813047000,15.77,3.15,13.10,3.08,10.91%,3.40%,9.85%,8.23%,2.97%,2.89%,14.26%,22.07%,70.50%,6.81%,10.82%
ALLE,2.62,4.00,3.61,C-,D-,A-,D,C,-,2.21229,1114848820,4/28/2026,1.8,-0.09646,1033600000,7234490,1.54%,25.74%,B-,B-,A,B-,4.62,11643449000,15.45,2.80,13.42,5.54,9.06%,6.21%,8.22%,2.77%,6.67%,8.87%,11.89%,24.30%,44.97%,11.93%,34.18%
ALSN,3.73,3.50,3.50,C,B-,A-,A-,C,5/4/2026,2.0313,1380317960,2/23/2026,1.4208,-0.3157,737000000,17855140,0.84%,14.73%,C+,C,A,A,2.47,10909073000,14.25,3.66,11.85,5.82,5.47%,2.82%,9.43%,-11.79%,23.30%,-6.67%,15.51%,34.49%,48.60%,10.24%,35.42%
ALV,2.81,4.00,4.05,B-,C,B+,B-,C-,7/17/2026,2.38095,2750564110,4/17/2026,2.05,0.2102,2753000000,140291410,2.83%,33.67%,B+,B,A-,B+,3.06,8696874000,11.08,0.80,6.94,3.30,19.64%,6.06%,12.82%,7.15%,3.28%,6.15%,3.92%,13.92%,19.31%,8.37%,28.37%
AME,3.23,3.00,4.30,F,D,A,B,B+,-,1.98535,1955793010,4/30/2026,1.97,0.06765,1928437000,15962960,0.55%,16.60%,B+,D-,A,B+,6.60,52795000000,28.45,6.98,22.52,4.83,8.60%,6.50%,8.70%,8.34%,6.81%,9.52%,18.23%,31.85%,36.68%,9.37%,14.63%
AMGN,3.25,3.75,3.48,D+,D-,A+,B-,B,8/4/2026,5.70696,9449006230,4/30/2026,5.15,0.38345,8618000000,47415630,2.93%,32.31%,B,A-,A,A+,1.65,1.78007E+11,14.73,4.77,12.42,19.38,-0.50%,12.43%,5.74%,31.30%,4.97%,9.07%,23.08%,48.30%,71.75%,8.43%,101.32%
AMP,3.39,3.00,3.57,C,D+,A+,D+,B+,7/22/2026,10.57909,4745673000,4/23/2026,11.26,1.04692,4774000000,75362670,1.37%,15.58%,A-,C-,B,A,0.74,42093818000,10.63,2.31,-,6.78,12.43%,9.90%,11.34%,36.68%,5.80%,6.82%,18.87%,-,56.60%,2.11%,66.94%
AMRZ,-,4.00,3.95,-,-,-,-,-,8/6/2026,0.97512,3343885100,4/29/2026,-0.16,-0.02534,2178000000,42016780,0.82%,17.31%,-,-,-,-,2.43,30254715000,19.33,2.54,12.77,2.31,2.26%,3.28%,10.95%,-3.76%,3.91%,2.52%,12.48%,23.65%,25.38%,4.76%,10.08%
AMT,1.88,3.83,4.24,D-,B-,A+,D+,C-,-,1.54817,2701632530,4/28/2026,1.84,0.26784,2737500000,86780310,3.79%,70.87%,A,D+,B+,C-,-,84610840000,27.58,7.85,19.33,24.04,27.79%,0.00%,12.24%,0.30%,3.62%,6.31%,42.55%,64.44%,73.96%,4.59%,29.95%
AMZN,3.45,4.06,4.64,D-,A,A+,A-,C+,7/31/2026,1.8088,1.94436E+11,4/29/2026,2.78,1.13527,1.81519E+11,4349766010,-,-,-,-,-,-,4.54,2.8857E+12,31.37,3.86,19.11,6.53,176.53%,12.27%,21.00%,36.23%,13.03%,14.22%,3.62%,20.98%,50.60%,9.91%,24.28%
AON,2.96,3.00,4.00,F,B+,A-,D,C+,-,3.82464,4311036270,5/1/2026,-,-,-,-,0.98%,-,A,F,A,A+,1.80,66531357000,16.41,3.91,14.28,7.14,12.59%,11.25%,11.10%,36.27%,6.80%,9.45%,17.81%,32.97%,47.20%,7.28%,46.94%
AOS,2.59,4.00,3.50,B-,D-,A-,D+,D+,-,0.92714,1009981250,4/30/2026,0.85,-0.09292,945600000,-30428520,2.35%,27.66%,A,B+,A+,B+,6.67,8317957600,16.01,2.21,11.03,4.47,29.52%,0.61%,4.48%,4.85%,2.36%,0.23%,13.01%,20.86%,38.77%,14.45%,28.27%
APD,3.22,4.00,4.00,D,D-,C,C,B+,-,3.33382,3202091330,4/30/2026,3.2,0.13887,3171800000,102185430,2.38%,27.88%,A+,C+,D+,A,2.49,67035046000,22.82,5.38,22.54,4.29,-1.08%,-1.73%,4.53%,36.69%,3.68%,3.69%,-27.99%,30.95%,31.98%,5.06%,12.35%
APO,2.91,4.00,4.20,D-,C,A,D+,D+,5/6/2026,1.89716,1216783330,2/9/2026,2.47,0.4334,1244000000,45800000,1.56%,24.34%,C,D,D-,A-,-,75212680000,14.73,2.42,-,3.44,NM,43.12%,12.64%,-24.44%,18.74%,22.81%,-,-,37.34%,0.76%,14.70%
ARW,4.83,3.00,3.00,A-,B-,C-,A-,A,5/7/2026,2.8525,8333606100,2/5/2026,4.39,0.825,8746430000,587792320,-,-,-,-,-,-,1.92,9426033000,13.34,0.31,11.88,1.43,-26.30%,-5.98%,14.89%,49.93%,9.39%,10.49%,-0.27%,3.42%,11.20%,1.96%,9.12%
ATMU,3.00,3.00,4.40,D-,A,B+,A-,C,-,0.778,508062230,5/1/2026,-,-,-,-,0.41%,-,F,D-,A+,B-,3.84,4300053500,18.04,2.45,16.57,11.34,6.77%,4.14%,13.17%,12.61%,7.79%,5.67%,3.86%,17.61%,28.88%,15.36%,68.46%
ATO,3.22,4.00,3.21,F,B-,D,B,A-,5/6/2026,3.40724,1940617340,2/3/2026,2.44,0.00168,1342585000,46285290,1.98%,46.88%,A+,D-,B+,A,-,31191860000,22.71,6.22,16.92,2.18,16.18%,1.38%,9.08%,9.81%,12.03%,16.42%,-38.44%,49.12%,57.82%,4.19%,9.24%
AU,4.05,3.50,4.00,B,B+,A+,A-,B,5/8/2026,2.24,3320500000,2/19/2026,1.9,-0.04064,3023000000,29916080,3.84%,66.64%,D+,A-,A+,C,4.90,46898820000,9.81,4.77,8.80,5.79,124.49%,30.02%,64.49%,122.32%,35.31%,70.78%,26.26%,55.25%,49.27%,17.48%,34.45%
AVB,2.54,4.00,3.47,D,C+,A-,C-,D-,-,1.21577,773083830,4/27/2026,1.0428,1.13796,768446000,1213900,3.83%,62.82%,B+,D+,C-,B+,-,25683896000,39.41,8.44,18.79,2.18,3.73%,4.66%,-12.53%,0.35%,3.68%,2.56%,44.13%,60.29%,62.83%,5.15%,9.72%
AVT,4.81,-,3.25,A-,C,C-,A-,A,8/5/2026,1.645,7238846100,4/29/2026,1.48,0.1625,7119779000,707284250,1.71%,33.01%,B-,C+,D-,C-,3.11,6592425000,16.26,0.27,12.44,1.33,-37.17%,-1.80%,11.45%,-28.23%,7.27%,12.68%,0.36%,3.08%,10.46%,1.59%,4.35%
AVY,2.13,3.00,4.45,C-,C,A-,D,D,-,2.46597,2293261190,4/28/2026,2.47,0.04387,2298500000,38175400,2.31%,38.72%,A,B-,A-,A,3.60,12539783000,16.27,1.40,11.14,5.46,0.47%,0.95%,5.79%,2.20%,3.13%,2.89%,8.47%,16.02%,28.76%,7.68%,30.86%
AWK,2.82,4.00,3.25,D,C+,D,D-,D+,7/30/2026,1.5791,1434000000,4/29/2026,1.01,-0.08071,1207000000,89500000,2.60%,57.28%,A-,D,B+,A,-,24874832000,20.91,4.77,14.27,2.25,9.82%,10.21%,6.87%,2.73%,7.18%,8.10%,-37.23%,54.39%,60.73%,3.13%,10.22%
AXP,3.36,3.50,3.62,F,B-,A+,D+,B,7/24/2026,4.39293,19616848160,4/23/2026,4.28,0.28665,18907000000,298198480,1.07%,21.27%,A-,D-,B-,A+,-,2.18126E+11,18.16,3.21,-,6.41,15.77%,9.69%,12.84%,11.85%,9.41%,10.90%,-,-,62.76%,3.63%,34.42%
AZN,3.26,3.66,4.60,D,A-,A+,B,-,7/27/2026,1.6113,15343569890,4/29/2026,1.29,0.01816,15288000000,370064320,1.73%,-,B,C,A,B-,3.35,2.84451E+11,27.25,4.70,15.58,6.00,30.22%,11.30%,-,33.61%,7.55%,9.93%,10.82%,33.08%,81.51%,9.11%,23.48%
BABA,3.10,3.76,4.64,D-,F,A+,D+,D+,5/13/2026,0.872041656,36191150617,3/19/2026,1.031572821,-0.559909792,41443765459,-710874628.3,1.52%,-,F,F,D+,D,2.97,2.95491E+11,26.55,2.10,15.01,2.05,40.00%,5.55%,-4.74%,-21.61%,8.93%,3.56%,-2.57%,13.64%,40.75%,4.82%,8.23%
BAC,4.91,3.70,4.52,D,B+,A+,C+,B+,7/14/2026,1.09939,30027212500,4/15/2026,1.11,0.09058,30272000000,332954300,2.07%,27.23%,A-,D,D+,B-,-,3.79596E+11,11.92,3.60,-,1.38,3.50%,5.05%,16.24%,20.25%,7.59%,12.45%,-,-,-,0.91%,10.64%
BAH,2.77,4.00,3.00,B-,C-,A-,D,B-,5/22/2026,1.33067,2866671150,1/23/2026,1.77,0.47881,2620000000,-128842840,2.86%,34.65%,B,A-,A,A,4.39,9443747000,12.90,0.85,10.05,9.23,24.85%,7.97%,4.53%,0.49%,2.81%,-3.12%,7.09%,11.07%,22.37%,11.90%,75.08%
