Symbol,Quant Rating,SA Analyst Ratings,Wall Street Ratings,Valuation Grade,Growth Grade,Profitability Grade,Momentum Grade,EPS Revision Grade,Upcoming Announce Date,EPS Estimate,Revenue Estimate,Last Quarter Announce Date,EPS Actual,EPS Surprise,Revenue Actual,Revenue Surprise,Yield TTM,Payout Ratio,Div Consistency,Div Yield,Div Growth,Div Safety,Altman Z Score,Market Cap,P/E FWD,Price / Sales,EV / EBITDA,Price / Book,Net Income 3Y,Revenue 3Y,EPS Growth (FWD),EPS YoY,Revenue FWD,Revenue YoY,FCF Margin,EBITDA Margin,Profit Margin,Return on Assets,Return on Equity
BR,2.64,4.00,3.77,C+,D+,A,D-,B,8/6/2026,3.75897,2174029900,4/30/2026,2.72,0.11581,1953600000,48745710,2.45%,9.39%,A-,B+,B+,A,4.64,17955950000,16.34,2.48,11.95,6.37,25.66%,7.19%,10.33%,40.49%,5.91%,8.19%,16.61%,24.06%,31.31%,12.53%,42.31%
BRK.B,3.32,3.90,4.25,C+,D+,A+,D+,F,5/3/2026,5.08184,-,2/28/2026,-,-,-,-,-,-,-,-,-,-,3.09,1.02062E+12,23.00,2.75,7.10,1.42,NM,7.14%,-0.37%,-24.78%,2.92%,0.00%,9.91%,29.77%,26.15%,5.48%,9.81%
BRO,2.14,3.50,3.27,D-,D+,B+,D-,C-,-,1.08102,1737390070,4/27/2026,1.39,0.03123,1901000000,11693980,1.09%,14.32%,A+,D-,C+,B+,1.83,19533564000,12.81,2.97,10.73,1.53,18.67%,18.39%,8.42%,-13.02%,15.89%,28.95%,24.33%,39.73%,53.37%,3.87%,11.93%
BSX,2.62,4.00,4.60,D+,B+,A+,D-,D,-,0.83217,5396535810,4/22/2026,0.8,0.01278,5203000000,31121120,-,-,-,-,-,-,5.69,83979070000,16.72,4.06,17.28,3.46,58.11%,16.48%,14.46%,74.39%,12.14%,17.43%,16.15%,26.33%,68.63%,8.16%,12.45%
BTI,3.09,3.66,4.50,B-,D+,A+,B+,C+,-,-,-,-,-,-,-,-,5.52%,-,B,A-,A-,D,1.64,1.27141E+11,12.05,3.72,10.71,2.06,5.21%,-2.53%,5.41%,156.69%,4.17%,-0.99%,11.69%,45.91%,82.65%,7.10%,15.82%
BUD,4.42,3.50,4.45,C-,B-,A+,A-,B+,5/5/2026,0.91333,14687466600,2/12/2026,0.95,0.07375,15555000000,98832180,1.78%,36.20%,C,D,B-,D-,1.38,1.47227E+11,17.62,2.53,11.27,1.69,4.63%,0.88%,11.02%,18.53%,3.24%,-0.75%,17.74%,32.74%,55.93%,3.12%,9.09%
BURL,3.28,3.50,4.41,D-,B,B,A-,A-,5/28/2026,1.73885,2781164760,3/5/2026,4.89,0.13817,3647378000,58148270,-,-,-,-,-,-,3.02,19980026000,27.80,1.73,19.94,10.91,38.41%,9.96%,18.14%,21.92%,9.32%,8.78%,0.91%,10.74%,43.88%,6.15%,38.40%
BX,2.28,4.25,3.95,D-,A-,A-,D-,D-,-,1.34998,3403375000,4/23/2026,1.36,0.02257,3433373000,37348000,3.31%,85.10%,C+,C,B,D,-,1.55432E+11,21.19,6.88,-,11.86,70.46%,49.36%,17.63%,17.88%,17.71%,16.36%,-,-,100.00%,6.32%,29.53%
BXP,1.41,3.50,3.81,B-,D,B-,D-,D,7/28/2026,0.46758,874462080,4/28/2026,0.5532,0.33552,872148000,17473530,5.19%,40.31%,C+,B,D+,B-,-,10538501000,30.84,2.94,17.01,1.83,-26.03%,0.73%,175.96%,NM,2.06%,-5.89%,30.01%,51.16%,56.66%,1.26%,5.53%
C,3.43,3.50,4.39,B-,A,F,A+,A+,7/14/2026,2.57435,23158257950,4/14/2026,3.0614,0.46511,24633000000,1165840930,1.85%,27.42%,C,D+,C-,B,-,2.17362E+11,11.79,2.91,-,1.14,1.90%,3.33%,28.07%,27.08%,5.85%,9.99%,-,-,-,0.58%,7.65%
CAH,4.75,3.50,4.58,B+,C+,A,B-,A,8/12/2026,2.40688,65237305020,4/30/2026,3.17,0.38184,60940000000,-1301707100,1.05%,19.59%,A+,C+,B+,B+,4.70,45943100000,18.14,0.18,12.64,NM,49.76%,8.07%,16.29%,2.38%,7.03%,12.80%,1.94%,1.61%,3.76%,2.74%,NM
CAKE,3.11,3.00,3.30,D+,D+,B-,B+,B+,7/29/2026,1.15564,993865260,4/29/2026,1.05,0.03241,978833000,14252420,1.84%,-,F,C-,B-,B,2.44,2997719300,14.93,0.75,14.74,6.85,50.99%,4.34%,8.97%,-4.38%,5.25%,4.75%,3.17%,8.88%,40.39%,4.55%,33.74%
CB,3.43,3.50,3.60,D,D,A+,B,B,-,6.6912,13002571430,4/21/2026,6.82,0.21407,11716000000,158428570,1.19%,13.87%,A+,D,A,A-,-,1.26528E+11,12.04,2.11,10.72,1.72,29.65%,11.44%,9.13%,36.30%,5.10%,8.19%,20.70%,23.76%,31.00%,4.10%,15.43%
CBRE,3.10,3.00,4.46,C+,B+,D,D,B+,-,1.51633,11267372400,4/23/2026,1.61,0.47662,10527000000,366045400,-,-,-,-,-,-,3.27,40872616000,18.56,1.00,22.99,4.80,5.05%,10.94%,20.24%,33.86%,12.45%,14.97%,2.59%,5.21%,18.50%,4.35%,15.60%
CBSH,2.95,3.00,3.25,D-,D-,C+,D+,B-,-,1.02833,487911000,4/21/2026,1.04578,0.11864,478055000,2672750,2.04%,25.55%,A+,D+,C,D+,-,7595301400,12.59,4.10,-,1.77,5.58%,5.95%,5.71%,5.96%,6.38%,8.41%,-,-,-,1.61%,14.94%
CCEP,3.83,3.00,4.18,D,C+,A-,B-,B+,8/4/2026,-,6685514436,2/17/2026,-,-,5855286266,146340863.2,2.48%,-,A-,C-,B+,B-,2.36,42122880000,18.16,1.76,13.47,4.63,8.80%,6.46%,20.69%,38.27%,6.85%,2.27%,8.36%,16.39%,35.58%,6.50%,22.89%
CCI,1.08,4.00,3.90,D,F,C,D+,F,-,0.36737,996760250,4/22/2026,0.5355,-0.02733,1010000000,15173150,4.76%,107.50%,D,C,F,F,-,38950150000,37.53,9.22,25.19,NM,-14.12%,-15.64%,NM,NM,-14.34%,-35.33%,28.55%,64.80%,73.82%,3.37%,NM
CCK,2.85,4.00,4.14,C+,D,B+,D+,C,-,2.15613,3353569900,4/27/2026,1.86,0.1097,3259000000,224557010,1.13%,14.14%,D+,B-,A-,B+,2.24,11067078000,12.35,0.90,8.23,3.79,5.51%,-0.05%,11.29%,35.79%,4.73%,7.00%,5.54%,16.44%,21.54%,5.03%,26.18%
CDW,2.78,3.00,4.09,B-,F,B,C,C,5/6/2026,2.28605,5486359240,2/4/2026,2.57,0.12542,5511000000,179004320,1.85%,24.98%,B-,B+,A-,A,2.71,17408367000,12.91,0.80,11.67,6.75,-1.45%,-1.89%,6.00%,1.38%,4.60%,6.79%,4.10%,8.77%,21.73%,6.65%,43.02%
CF,3.39,4.25,3.00,B-,F,A,B+,A-,5/6/2026,2.65669,1858554740,2/18/2026,3.062,0.59084,1872000000,87007980,1.63%,20.85%,C+,B-,B-,A,2.94,18847201000,8.86,2.81,7.23,3.89,-24.24%,-14.12%,14.02%,33.09%,6.35%,19.34%,18.46%,45.74%,38.45%,10.33%,23.40%
CFG,4.63,3.40,4.55,B-,A,B-,A,B,7/16/2026,1.23556,2248645330,4/16/2026,1.13,0.04067,2168000000,8894000,2.79%,41.61%,C-,C,C-,C,-,27444440000,12.42,3.51,-,1.14,-3.00%,0.19%,28.28%,33.89%,8.28%,10.81%,-,-,-,0.87%,7.74%
CHD,3.10,2.50,3.71,F,D,A-,B,B,7/28/2026,0.97339,1509234460,5/1/2026,-,-,-,-,1.24%,-,A+,F,A-,A-,5.07,22744746000,25.64,3.76,17.81,5.68,21.20%,4.89%,5.13%,27.43%,1.49%,1.57%,18.31%,22.29%,45.13%,8.27%,17.62%
CHDN,2.81,4.00,4.75,D+,B-,B,C+,C+,7/29/2026,3.42121,977852480,4/22/2026,1.21,0.20528,663000000,1374560,0.44%,6.88%,A-,D-,B-,A-,1.53,6875600000,14.36,2.36,12.19,6.27,-11.06%,13.68%,7.28%,-3.08%,4.71%,5.72%,4.25%,32.68%,33.80%,5.20%,35.00%
CHH,2.82,3.00,2.93,D-,F,A+,C,C+,-,1.90239,430113840,4/30/2026,1.07,-0.24772,340575000,6760390,1.14%,12.89%,C+,D-,A,A-,3.16,4607739400,14.06,4.69,13.63,33.81,2.87%,11.78%,4.00%,13.12%,1.75%,23.90%,19.90%,49.53%,90.46%,11.74%,940.81%
CHKP,2.64,3.33,3.81,B,B,A,D-,C-,-,2.45248,675913330,4/30/2026,2.5,0.09646,668400000,-4273920,-,-,-,-,-,-,6.40,12091802000,10.97,4.42,11.05,4.26,9.23%,5.41%,7.97%,28.68%,5.50%,5.84%,25.82%,31.79%,87.66%,13.89%,38.02%
CI,3.27,3.75,4.58,A-,D,A+,B-,B-,7/30/2026,7.60301,69812812850,4/30/2026,7.79,0.18367,68494000000,2292335690,2.15%,14.66%,A-,A,A-,B-,2.84,74836210000,9.31,0.27,7.91,1.77,-2.45%,14.93%,7.02%,32.66%,6.36%,8.82%,2.25%,4.46%,9.15%,4.10%,16.27%
CL,3.03,3.66,4.00,D-,D-,A+,B-,C+,7/31/2026,0.9586,5321061170,5/1/2026,-,-,-,-,2.40%,-,A+,D,A+,C,6.92,69824520000,22.77,3.46,15.76,"1,294.75",6.10%,4.29%,4.21%,-25.07%,3.04%,1.40%,15.09%,23.88%,60.11%,13.06%,497.47%
CLX,2.80,3.66,2.89,B-,D-,A-,D+,B,-,2.05299,1818246670,4/30/2026,1.64,0.09523,1670000000,1780620,5.69%,18.37%,A+,B+,A,A-,2.94,10532633000,15.03,1.57,10.85,NM,116.99%,-1.95%,2.63%,10.85%,1.87%,-3.69%,1.02%,19.07%,43.85%,11.75%,546.10%
CM,3.42,3.00,3.78,D-,B-,C,A+,A,5/28/2026,1.748451116,5742974696,2/26/2026,2.017499616,0.268985329,6138754267,504988874.5,2.64%,43.92%,A,C,C-,B-,-,1.03262E+11,15.17,5.10,-,2.21,25.10%,9.97%,15.01%,24.46%,9.97%,13.11%,-,-,-,0.83%,14.75%
CMC,2.88,3.00,4.09,B,B,B-,C,C-,6/18/2026,1.8007,2442314120,3/26/2026,1.16,-0.13576,2132018000,57410210,1.08%,14.09%,A-,C-,B,A-,2.81,7613527600,10.72,0.91,10.12,1.73,-21.46%,-2.93%,18.31%,605.39%,7.48%,8.38%,1.72%,12.62%,17.74%,5.28%,12.00%
CME,3.42,3.66,3.31,F,A,A,C,A,-,2.97937,1725403440,4/22/2026,3.36,-0.00851,1880100000,-21478570,1.74%,42.91%,A-,C-,B-,B+,0.50,1.04918E+11,23.63,15.44,22.15,3.94,14.25%,9.73%,7.84%,17.91%,6.17%,7.48%,44.94%,71.07%,100.00%,2.11%,15.92%
CMI,3.25,3.40,3.91,D-,B,A-,A,B-,5/5/2026,5.62769,8366338520,2/5/2026,5.81,0.72856,8536000000,433605460,1.19%,32.89%,A+,C-,A,A+,4.10,90895960000,24.88,2.69,18.59,7.35,9.74%,6.25%,11.68%,-27.74%,4.45%,-1.27%,4.08%,15.41%,25.76%,8.36%,23.93%
CMS,4.21,-,3.87,D+,C,C-,C,A-,7/30/2026,0.77599,1919443110,4/28/2026,1.13,0.02985,2730000000,220510950,2.89%,59.07%,A-,C,B-,A-,-,23487158000,19.58,2.61,14.17,2.54,17.18%,1.22%,7.71%,7.21%,7.21%,13.31%,-24.44%,34.55%,40.55%,2.75%,10.37%
CNI,3.02,3.66,3.82,C,D,A+,B,D+,7/22/2026,1.407470664,3299967859,4/29/2026,1.315539444,-0.003270341,3200415126,-13931628.51,2.33%,46.56%,A+,B-,A-,C+,2.44,68032140000,19.34,5.58,13.03,4.41,-4.61%,-0.82%,9.51%,6.31%,5.41%,0.47%,15.04%,52.08%,56.66%,7.91%,21.85%
COLM,3.33,-,3.37,C,D-,C+,B,A+,7/30/2026,-0.41062,607819000,4/30/2026,0.65,0.29778,779013000,20821540,1.92%,28.66%,C,D+,B,B-,4.51,3188628500,16.57,0.99,10.83,2.07,-16.50%,-1.20%,1.25%,-18.97%,2.06%,0.62%,3.63%,8.49%,50.49%,6.60%,10.29%
COO,3.25,3.00,3.88,C+,D,A-,C-,A,6/4/2026,1.09797,1053500040,3/5/2026,1.1,0.07248,1024100000,676540,-,-,-,-,-,-,3.71,12167334000,13.51,2.98,13.48,1.45,2.28%,7.10%,10.81%,-3.02%,5.27%,5.68%,8.84%,26.48%,65.44%,3.23%,4.87%
COP,4.84,3.66,4.14,C-,C,A+,C,B,-,2.56855,18322782810,4/30/2026,1.89,0.19572,16054000000,-171071600,2.63%,40.40%,A-,C-,C,B+,2.86,1.50082E+11,13.85,2.57,7.15,2.33,-22.68%,-8.57%,3.15%,-25.67%,4.98%,0.49%,8.91%,39.32%,45.59%,5.97%,11.28%
CP,3.00,3.00,4.31,D+,B-,A,B,F,7/28/2026,0.913065563,2966797339,4/29/2026,0.760089457,-0.026376775,2704895268,-54660489.15,0.77%,19.63%,B-,D-,B-,C+,2.13,76519770000,22.84,7.26,16.35,2.32,3.04%,17.48%,13.71%,8.90%,7.35%,1.10%,12.59%,53.84%,53.84%,4.65%,8.43%
CPT,2.38,4.00,3.54,D,C,B,D+,D-,7/30/2026,0.20667,392483300,4/30/2026,-0.2447,0.1703,388773000,-1932530,4.03%,66.82%,A-,D+,C-,B+,-,10878041000,-,7.09,16.65,2.72,-14.22%,1.94%,-7.01%,230.59%,1.39%,1.30%,48.38%,56.99%,61.57%,4.28%,9.07%
CR,3.15,2.50,4.66,D-,B-,B-,C,B+,-,1.65179,703010720,4/27/2026,1.65,0.20212,696400000,23670150,0.55%,14.98%,D-,D-,A,A,5.54,9946117000,25.39,4.06,22.78,4.73,-6.67%,6.73%,15.86%,10.97%,12.44%,12.17%,8.59%,19.42%,41.60%,8.06%,16.61%
CRC,4.78,4.00,4.58,C+,C+,B,B-,A,5/5/2026,0.89997,945396170,3/2/2026,0.47,-0.03178,924000000,134167500,2.32%,38.23%,D+,C,D+,B-,1.79,6066941400,12.37,1.75,5.80,1.65,-11.52%,1.70%,7.81%,-10.17%,6.29%,15.08%,16.00%,36.97%,54.42%,4.90%,10.07%
CRH,2.88,3.50,4.65,D+,D,A,C-,D+,8/14/2026,2.101,10728751680,4/30/2026,-0.208,0.01833,7370000000,297567210,1.30%,20.23%,B+,C,B,B-,2.98,77143740000,19.49,2.04,12.63,3.52,9.62%,6.34%,9.82%,14.11%,5.51%,6.33%,2.39%,19.92%,36.09%,6.31%,15.81%
CRM,3.16,4.04,4.40,B-,D+,A+,D+,C+,5/27/2026,3.12317,11059625930,2/25/2026,3.81,0.75834,11201000000,9402940,0.92%,13.26%,F,B,C,A,3.63,1.50375E+11,13.92,4.21,12.63,2.89,229.74%,9.82%,13.55%,22.64%,10.18%,9.58%,39.41%,30.22%,77.68%,6.64%,12.40%
CRUS,3.39,3.00,4.14,C+,D-,A,B+,A-,5/6/2026,1.75929,442095670,2/3/2026,2.97,0.534,580624000,46102020,-,-,-,-,-,-,11.72,8377453600,18.12,4.30,14.63,3.98,7.31%,-0.69%,11.29%,37.60%,4.61%,7.04%,23.88%,25.75%,52.87%,16.44%,19.87%
CSCO,3.44,3.55,4.15,D,D-,A+,B,B,5/13/2026,1.03616,15560157840,2/11/2026,1.04,0.01786,15349000000,225618050,1.80%,41.10%,B,B,A,B+,2.95,3.62798E+11,22.08,6.16,23.25,7.60,-0.67%,3.57%,6.55%,22.12%,6.50%,9.00%,17.15%,27.59%,64.81%,8.98%,23.75%
CTSH,3.06,4.00,3.82,A-,D-,A-,D,B-,7/29/2026,1.38574,5493161710,4/29/2026,1.4,0.06638,5413000000,308380,2.40%,23.49%,C-,A-,C+,C+,6.86,24844976000,9.23,1.18,6.28,1.65,-1.14%,3.31%,9.02%,-3.11%,5.93%,6.55%,8.90%,18.18%,33.51%,10.87%,14.88%
CVX,3.48,4.14,4.16,D+,C+,A+,D+,B,7/31/2026,4.45086,61820869670,5/1/2026,-,-,-,-,3.62%,-,A+,C,C+,B-,2.94,3.79716E+11,15.53,1.91,11.32,2.02,-29.74%,-7.84%,5.29%,-31.79%,1.13%,-5.58%,7.15%,20.38%,41.90%,3.80%,7.23%
D,3.05,4.00,3.19,C+,D-,D+,C+,D+,-,0.85533,4132288550,5/1/2026,-,-,-,-,4.18%,-,C+,B+,B-,A-,-,56201003000,17.82,3.31,13.74,2.00,36.03%,5.80%,11.20%,66.03%,9.02%,14.16%,-54.56%,49.14%,49.02%,2.59%,9.74%
DAL,3.16,3.66,4.69,B+,B,A+,B,D-,7/10/2026,1.45323,18647734820,4/8/2026,0.64,0.06523,15854000000,984960370,1.03%,12.50%,D-,B,B+,B-,1.29,45074366000,12.52,0.69,7.90,2.21,33.18%,6.48%,9.06%,21.77%,5.28%,5.24%,4.75%,11.93%,19.90%,5.30%,24.99%
DBD,3.90,4.50,4.66,A-,C+,B-,B,B-,8/6/2026,1.10333,926366670,4/29/2026,0.6,-0.01667,891800000,34266670,-,-,-,-,-,-,1.87,2710240300,14.20,0.73,7.18,2.67,NM,3.39%,NM,NM,2.41%,4.32%,10.24%,11.85%,26.33%,2.82%,10.96%
DCI,1.97,3.00,3.37,D,D+,B,C+,D-,6/2/2026,1.04714,973649200,2/26/2026,0.83,-0.05857,896300000,-2340600,1.39%,31.66%,A+,C-,A,A-,7.08,9985504000,21.68,2.68,15.71,6.34,1.95%,3.15%,8.53%,-6.54%,3.85%,3.28%,6.74%,17.76%,34.60%,12.37%,24.27%
DE,3.39,3.20,3.87,D-,D+,A+,B,A-,5/21/2026,5.71175,11496645000,2/19/2026,2.42,0.35958,8001000000,496592860,1.12%,36.53%,A-,D+,B,A+,2.97,1.55922E+11,32.30,3.34,24.90,5.93,-16.22%,-5.65%,-3.51%,-21.56%,0.17%,-2.35%,8.99%,18.38%,26.25%,4.65%,19.57%
DECK,3.36,3.66,3.60,C-,D,A,B-,A,5/21/2026,0.83096,1085163070,1/29/2026,3.33,0.56461,1957549000,88511680,-,-,-,-,-,-,10.89,14319913000,14.65,2.78,9.25,5.50,28.17%,14.59%,14.76%,14.09%,10.74%,9.16%,14.12%,25.30%,57.54%,25.35%,39.69%
DELL,4.96,4.14,4.11,C+,B+,A+,A-,A-,5/28/2026,2.9412,35591958750,2/26/2026,3.89,0.37721,33379000000,1747418370,1.05%,20.29%,D,B-,D-,B-,1.86,1.3665E+11,16.24,1.25,13.73,NM,34.46%,3.54%,21.88%,36.05%,16.95%,18.80%,5.82%,10.09%,20.12%,5.86%,NM
DEO,2.78,3.25,3.75,D+,F,A-,D+,B,5/8/2026,-,4791600670,2/25/2026,-,-,5585000000,-74000000,4.16%,-,C+,C,B-,C-,2.19,44692370000,12.31,2.26,11.17,3.85,-17.22%,-0.58%,-3.52%,-32.85%,-1.35%,-2.00%,4.84%,31.23%,60.00%,4.80%,19.72%
DG,3.26,3.75,3.70,C-,D,B+,B-,A-,-,1.90519,10831106780,3/12/2026,1.93,0.29239,10911203000,86777880,2.06%,34.45%,D+,D+,C,A-,2.48,25200499000,15.69,0.59,12.03,2.96,-14.46%,4.13%,10.53%,34.05%,4.46%,5.20%,5.06%,7.74%,30.66%,4.88%,18.99%
DGX,3.33,4.00,3.88,C-,D-,A,B-,A-,-,2.82482,2969788810,4/21/2026,2.5,0.13286,2895000000,67203150,1.69%,32.15%,A-,B-,A-,B,3.24,21327880000,17.91,1.89,12.45,2.90,8.90%,5.51%,9.28%,14.45%,7.81%,11.03%,8.40%,19.74%,33.28%,6.14%,14.54%
DHI,3.24,4.00,3.40,D+,D,A,B,A-,7/21/2026,2.98839,9179179820,4/21/2026,2.24,0.11815,7558100000,-44791570,1.13%,15.93%,B-,D,A-,A,5.87,42531270000,14.11,1.33,11.21,1.81,-15.08%,-0.31%,-5.67%,-19.08%,-0.90%,-5.57%,8.62%,12.80%,21.60%,8.92%,13.08%
DHR,3.07,3.25,4.70,D-,C-,A+,C-,B,-,1.83671,6089845850,4/21/2026,2.06,0.12484,5951000000,-41505590,0.78%,17.04%,A-,D,C+,A-,4.29,1.23966E+11,20.76,5.02,17.39,2.34,-18.97%,-0.17%,6.72%,0.04%,4.07%,4.02%,18.44%,32.02%,58.99%,4.42%,7.08%
DINO,4.77,3.50,3.73,B+,A,C+,B-,B,8/6/2026,2.42524,9008635570,5/1/2026,-,-,-,-,2.89%,-,C+,C+,C-,B-,3.09,12469514000,11.15,0.48,9.96,1.37,-41.71%,-11.07%,77.28%,238.28%,0.68%,-5.99%,3.84%,5.56%,8.56%,3.51%,6.30%
DIS,3.29,4.00,4.45,D,C+,A+,C,B+,5/6/2026,1.49671,24830637210,2/2/2026,1.63,0.0542,25981000000,381858310,1.21%,25.86%,F,D,B+,A-,2.39,1.82608E+11,15.52,1.94,11.87,1.69,54.53%,4.28%,13.85%,120.97%,4.84%,3.47%,3.32%,20.17%,37.28%,6.06%,12.02%
DKS,2.91,3.00,3.92,D+,D+,C+,B,C,5/26/2026,2.87801,5053386120,3/12/2026,3.45,0.50165,6226054000,161224520,2.18%,34.69%,B-,D+,A-,B+,2.85,20001260000,15.70,1.08,13.33,3.60,-6.63%,11.65%,4.75%,-29.04%,19.42%,28.06%,-3.39%,11.50%,34.19%,4.88%,19.44%
DLB,2.70,4.00,4.25,B-,D+,A-,C+,D+,-,0.955,332826330,4/30/2026,1.37,0.03333,395630000,5113500,2.40%,16.43%,B-,B+,A-,B-,8.63,5489718000,13.19,4.02,13.65,2.09,0.17%,2.20%,6.07%,-4.71%,4.81%,3.39%,21.10%,26.58%,87.44%,7.50%,9.42%
DLTR,3.02,3.66,3.25,C-,D,B+,C,B,6/3/2026,1.563,4969463380,3/16/2026,2.56,0.02852,5450700000,-14113170,-,-,-,-,-,-,3.52,18434654000,14.11,1.00,10.72,5.00,-7.40%,8.00%,10.32%,22.98%,-10.83%,10.43%,6.62%,11.91%,36.69%,9.52%,31.69%
DOO,2.73,3.00,3.80,C+,C-,A-,C,C+,6/3/2026,0.814324964,1552308691,3/26/2026,1.594815766,0.116598571,1773276372,72436550.34,1.17%,16.87%,C,C,B-,C+,2.41,4103468000,18.92,0.66,7.91,9.17,-30.37%,-5.59%,10.16%,439.54%,8.30%,6.83%,8.60%,11.75%,22.35%,4.61%,79.39%
DOV,3.16,-,4.14,D,D+,B+,B,B,-,2.72329,2206627220,4/23/2026,2.28,0.00962,2053623000,50297720,0.92%,21.07%,A+,D+,A,B+,5.21,30405200000,21.22,3.72,17.18,4.06,1.04%,-1.01%,11.83%,6.72%,5.32%,7.14%,10.15%,22.53%,40.04%,8.16%,15.00%
DOX,2.59,3.50,4.20,A-,F,B+,D+,D+,5/13/2026,1.76333,1166106200,2/3/2026,1.81,0.0525,1155939000,2495270,3.32%,29.52%,B,A,B+,A-,4.76,6959844000,8.65,1.55,7.53,2.03,1.54%,-0.57%,7.97%,19.76%,-1.03%,-5.98%,13.06%,22.36%,37.61%,9.00%,16.48%
DPZ,2.69,3.57,4.00,D+,B-,A,D,C,-,4.25509,1187266200,4/27/2026,4.13,-0.13884,1150594000,-11526300,2.13%,41.51%,B-,C-,A+,A,3.25,11234862000,17.52,2.30,15.79,NM,8.29%,3.04%,7.99%,-0.41%,4.69%,5.17%,10.54%,20.52%,28.70%,32.09%,NM
DRI,4.30,3.00,4.12,D,C-,A-,B-,A-,6/18/2026,3.63306,3728965690,3/19/2026,2.95,0.00865,3345300000,14728810,3.08%,59.12%,B+,C+,A,A,2.49,22306836000,18.34,1.77,15.05,10.62,5.24%,7.34%,8.59%,6.81%,6.36%,8.51%,5.31%,15.74%,21.51%,8.58%,51.54%
DTE,2.97,4.00,4.17,C-,C,B,B-,D,7/30/2026,1.5236,3573944790,4/30/2026,1.95,-0.0842,5141000000,706223000,3.03%,-,A,C+,B,A-,-,30952503000,19.29,1.95,15.95,2.51,10.52%,-6.31%,6.92%,3.87%,9.20%,26.95%,-11.04%,22.87%,30.31%,2.70%,12.18%
DTM,2.49,1.00,3.60,F,C-,B-,C,D,-,1.133,322966380,4/30/2026,1.27,0.13963,336000000,19765090,2.27%,72.57%,D+,D+,B,B+,1.77,15043001000,31.39,11.75,20.52,3.16,7.76%,11.32%,12.11%,22.68%,13.10%,22.22%,11.44%,70.30%,75.47%,4.56%,9.86%
DUK,3.20,3.60,3.78,C+,D-,A+,C-,C-,5/5/2026,1.79505,8489154390,2/10/2026,1.5,0.00733,7938000000,350512730,3.30%,66.77%,B+,B-,B,B+,-,1.00079E+11,19.19,3.14,11.86,1.97,24.90%,3.93%,6.68%,10.76%,4.65%,6.20%,-6.30%,51.21%,51.90%,2.54%,9.72%
DVA,4.77,3.00,3.12,A-,B+,A-,B+,A+,5/5/2026,2.32989,3356414450,2/2/2026,3.4,0.20777,3619787000,113680130,-,-,-,-,-,-,1.59,10000460000,10.74,0.83,8.72,NM,10.04%,5.53%,19.21%,-11.37%,4.17%,6.46%,7.72%,20.17%,32.26%,4.27%,64.85%
DVN,3.45,3.88,4.48,B,D,A,B,B,5/5/2026,1.09771,3926668010,2/17/2026,0.82,-0.00669,4121000000,506688180,1.90%,24.55%,B+,B-,B-,B-,2.17,31419814000,9.38,1.99,5.18,2.03,-23.99%,-6.83%,3.65%,-8.55%,14.54%,5.71%,13.23%,46.61%,47.70%,8.36%,17.74%
DXCM,2.86,4.00,4.59,D,B-,A,D+,B-,-,0.60639,1294450940,4/30/2026,0.56,0.08936,1191900000,17133560,-,-,-,-,-,-,6.83,23673307000,24.06,4.95,17.48,8.01,47.07%,16.81%,22.60%,74.60%,13.32%,16.15%,21.72%,26.82%,61.50%,14.03%,35.62%
E,4.95,4.00,3.20,A-,A-,A,B+,A,7/29/2026,-,38552592501,4/24/2026,-,-,26906491680,-2407982153,4.25%,-,B+,B,F,D,1.51,82723190000,8.09,0.86,8.22,1.46,-41.76%,-13.05%,20.13%,28.06%,6.87%,-7.13%,-19.59%,14.24%,20.80%,1.70%,5.91%
EAT,4.01,3.50,4.43,C,B+,A,B+,A-,8/12/2026,3.08507,1536852670,4/29/2026,2.9,0.03728,1470200000,-3657440,-,-,-,-,-,-,4.55,6353397000,13.77,1.14,9.86,15.76,73.52%,12.02%,44.89%,42.47%,11.69%,11.75%,8.01%,14.23%,18.59%,16.70%,139.22%
EBAY,3.33,3.50,3.35,D-,B-,A,A,A-,7/29/2026,1.5032,2997137670,4/29/2026,1.66,0.07944,3089000000,55048400,1.13%,20.00%,C-,D-,A,B,5.96,46207080000,17.11,4.07,17.99,10.52,47.34%,5.71%,11.26%,4.17%,7.11%,12.53%,10.04%,23.74%,71.79%,11.42%,42.88%
ED,3.31,3.00,2.77,B-,D,A-,C,A-,5/7/2026,2.26156,4940196770,2/19/2026,0.89,0.02961,3995000000,283750120,3.11%,59.44%,A+,D+,B-,B+,-,40706863000,18.11,2.33,11.20,1.65,6.81%,2.59%,6.33%,7.63%,6.24%,10.89%,-0.86%,35.60%,53.25%,2.71%,8.77%
EDU,3.71,4.00,4.28,B-,A+,B+,C+,A-,-,0.46051,1465236280,4/22/2026,0.95,0.10634,1417341000,57820770,2.23%,33.15%,-,-,-,-,-,8565224000,15.35,1.59,6.25,2.08,NM,26.40%,23.43%,15.62%,13.19%,12.12%,11.48%,14.59%,54.96%,5.10%,10.84%
EEFT,2.80,4.00,4.00,A-,D+,B-,D,C-,7/24/2026,2.99125,1139180500,4/28/2026,1.58,0.12444,1011800000,46266620,-,-,-,-,-,-,1.95,2809871400,6.77,0.72,5.11,2.83,8.31%,8.19%,12.31%,-0.05%,6.24%,7.22%,7.94%,15.38%,24.30%,4.87%,24.67%
